,"(0, 0, 5)","(0, 1, 4)","(0, 2, 3)","(0, 3, 2)","(0, 4, 1)","(0, 5, 0)","(1, 0, 4)","(1, 1, 3)","(1, 2, 2)","(1, 3, 1)","(1, 4, 0)","(2, 0, 3)","(2, 1, 2)","(2, 2, 1)","(2, 3, 0)","(3, 0, 2)","(3, 1, 1)","(3, 2, 0)","(4, 0, 1)","(4, 1, 0)","(5, 0, 0)",player,iteration
29,-14.0,-8.0,-4.0,-3.0,-6.0,-13.0,-11.0,-6.0,-5.0,-6.0,-11.0,-3.0,-1.0,-2.0,-5.0,1.0,1.0,-2.0,-1.0,-3.0,-8.0,B,14
30,-3.0,3.0,8.0,8.0,3.0,-3.0,5.0,9.0,7.0,5.0,4.0,7.0,4.0,0.0,2.0,6.0,1.0,1.0,2.0,1.0,-5.0,A,15
31,-15.0,-8.0,-5.0,-5.0,-8.0,-15.0,-12.0,-7.0,-7.0,-8.0,-13.0,-4.0,-2.0,-3.0,-6.0,0.0,1.0,-2.0,-2.0,-3.0,-9.0,B,15
32,-4.0,3.0,9.0,9.0,3.0,-4.0,4.0,9.0,8.0,5.0,3.0,6.0,4.0,0.0,1.0,6.0,1.0,1.0,2.0,1.0,-6.0,A,16
33,-16.0,-9.0,-6.0,-5.0,-8.0,-16.0,-12.0,-7.0,-7.0,-8.0,-13.0,-3.0,-1.0,-3.0,-6.0,1.0,1.0,-3.0,-2.0,-4.0,-10.0,B,16
34,-3.0,5.0,11.0,10.0,3.0,-4.0,5.0,11.0,9.0,5.0,3.0,7.0,5.0,0.0,1.0,7.0,2.0,2.0,3.0,3.0,-5.0,A,17
35,-18.0,-11.0,-8.0,-6.0,-9.0,-18.0,-13.0,-8.0,-8.0,-9.0,-14.0,-3.0,-1.0,-4.0,-7.0,1.0,0.0,-5.0,-3.0,-6.0,-12.0,B,17
36,-3.0,6.0,12.0,10.0,2.0,-5.0,5.0,12.0,9.0,4.0,2.0,7.0,5.0,-1.0,0.0,7.0,2.0,2.0,3.0,4.0,-5.0,A,18
37,-19.0,-12.0,-8.0,-5.0,-8.0,-18.0,-14.0,-9.0,-8.0,-8.0,-14.0,-4.0,-2.0,-4.0,-7.0,1.0,0.0,-5.0,-2.0,-6.0,-12.0,B,18
38,-3.0,7.0,13.0,10.0,1.0,-6.0,5.0,13.0,9.0,3.0,1.0,7.0,5.0,-2.0,-1.0,7.0,2.0,2.0,3.0,5.0,-5.0,A,19
39,-20.0,-12.0,-7.0,-5.0,-9.0,-19.0,-15.0,-9.0,-8.0,-9.0,-15.0,-4.0,-2.0,-4.0,-7.0,1.0,0.0,-4.0,-3.0,-6.0,-13.0,B,19
40,-3.0,8.0,14.0,10.0,0.0,-7.0,5.0,14.0,9.0,2.0,0.0,7.0,5.0,-3.0,-2.0,7.0,2.0,2.0,3.0,6.0,-5.0,A,20
41,-20.0,-12.0,-7.0,-5.0,-9.0,-19.0,-14.0,-8.0,-8.0,-9.0,-14.0,-3.0,-2.0,-5.0,-7.0,1.0,-1.0,-5.0,-4.0,-7.0,-14.0,B,20
42,-4.0,8.0,14.0,9.0,-2.0,-9.0,4.0,14.0,8.0,0.0,-2.0,6.0,4.0,-5.0,-4.0,6.0,1.0,1.0,2.0,6.0,-6.0,A,21
43,-19.0,-11.0,-6.0,-4.0,-8.0,-18.0,-12.0,-7.0,-7.0,-7.0,-12.0,-2.0,-2.0,-4.0,-5.0,1.0,-1.0,-4.0,-4.0,-7.0,-14.0,B,21
44,-5.0,8.0,14.0,8.0,-4.0,-11.0,3.0,14.0,7.0,-2.0,-4.0,5.0,3.0,-7.0,-6.0,5.0,0.0,0.0,1.0,6.0,-7.0,A,22
45,-19.0,-10.0,-4.0,-2.0,-6.0,-17.0,-12.0,-6.0,-5.0,-5.0,-11.0,-2.0,-1.0,-2.0,-4.0,1.0,0.0,-3.0,-3.0,-6.0,-13.0,B,22
46,-5.0,9.0,15.0,8.0,-5.0,-12.0,3.0,15.0,7.0,-3.0,-5.0,5.0,3.0,-8.0,-7.0,5.0,0.0,0.0,1.0,7.0,-7.0,A,23
47,-20.0,-10.0,-3.0,-2.0,-7.0,-18.0,-13.0,-6.0,-5.0,-6.0,-12.0,-2.0,-1.0,-2.0,-4.0,1.0,0.0,-2.0,-4.0,-6.0,-14.0,B,23
48,-6.0,9.0,15.0,7.0,-7.0,-14.0,2.0,15.0,6.0,-5.0,-7.0,4.0,2.0,-10.0,-9.0,4.0,-1.0,-1.0,0.0,7.0,-8.0,A,24
49,-19.0,-9.0,-2.0,-1.0,-6.0,-17.0,-11.0,-5.0,-4.0,-4.0,-10.0,-1.0,-1.0,-1.0,-2.0,1.0,0.0,-1.0,-4.0,-6.0,-14.0,B,24
50,-6.0,10.0,16.0,7.0,-8.0,-15.0,2.0,16.0,6.0,-6.0,-8.0,4.0,2.0,-11.0,-10.0,4.0,-1.0,-1.0,0.0,8.0,-8.0,A,25
51,-19.0,-9.0,-2.0,-1.0,-6.0,-17.0,-10.0,-4.0,-4.0,-4.0,-9.0,0.0,-1.0,-2.0,-2.0,1.0,-1.0,-2.0,-5.0,-7.0,-15.0,B,25
52,-7.0,10.0,16.0,6.0,-10.0,-17.0,1.0,16.0,5.0,-8.0,-10.0,3.0,1.0,-13.0,-12.0,3.0,-2.0,-2.0,-1.0,8.0,-9.0,A,26
53,-19.0,-8.0,-1.0,-1.0,-6.0,-17.0,-9.0,-3.0,-3.0,-3.0,-8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-5.0,-6.0,-15.0,B,26
54,-7.0,11.0,16.0,5.0,-11.0,-18.0,1.0,16.0,4.0,-9.0,-11.0,3.0,1.0,-13.0,-12.0,3.0,-1.0,-1.0,-1.0,9.0,-9.0,A,27
